
"Meesho Supplier Panel"
"Supplier ID","2695279"
"Supplier Registered Name","PRINCE VIJAYBHAI BHANDERI"
"Supplier Email ID","wonnder.crate@gmail.com"
"Download Date & Time Stamp","1754228863000"

"S No","Product Name","SKU","Variation","Meesho PID","Category","Qty","Order Number","Suborder Number","Dispatch Date","Return Created Date","Type of Return","Sub Type","Expected Delivery Date","Courier Partner","AWB Number","Status","Attempt","Tracking Link","Return Price Type","Return Reason","Detailed Return Reason"
"11","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179613328380727936","179613328380727936_1","2025-07-25","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1926592582FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1926592582FPL",,"NA","NA"
"12","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180252776764535616","180252776764535616_1","2025-07-26","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1929164949FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1929164949FPL",,"NA","NA"
"13","Stylish 24 Pcs Kitchen Storage Container Set | Airtight, Transparent Jars for Masala, Grains, Dry Fruits & More","24 Sil 0000514101a","Free Size",,"Jars & Containers","1","180724448452693696","180724448452693696_1","2025-07-28","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1931345326FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1931345326FPL",,"NA","NA"
"14","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","179882537807541248","179882537807541248_1","2025-07-25","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864204236","Returned","null","https://www.delhivery.com/track/package/1490815864204236",,"NA","NA"
"15","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","177446138387102144","177446138387102144_1","2025-07-23","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815720303162","Returned","null","https://www.delhivery.com/track/package/1490815720303162",,"NA","NA"
"16","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179493337584420288","179493337584420288_1","2025-07-24","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815813713925","Returned","null","https://www.delhivery.com/track/package/1490815813713925",,"NA","NA"
"17","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","178183791579173056","178183791579173056_1","2025-07-21","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815652482155","Returned","null","https://www.delhivery.com/track/package/1490815652482155",,"NA","NA"
"18","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180503446364822848","180503446364822848_1","2025-07-26","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815940887873","Returned","null","https://www.delhivery.com/track/package/1490815940887873",,"NA","NA"
"19","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179879136306601024","179879136306601024_1","2025-07-25","2025-08-02","Customer Return","FIRST_RET","2025-08-20","Valmo","VLR081043107610","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR081043107610&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"20","Techhark Drip Irrigation kit for Home Garden, Self-Watering Spikes for Plants, Automatic Plant Water Devices with Slow Release Control Valve Switch drip Irrigation System (Pack of 12)","12p Irrigation D04","Free Size",,"Automatic Irrigation Equipment","1","180335852621156032","180335852621156032_1","2025-07-26","2025-08-02","Customer Return","FIRST_RET","2025-08-20","Shadowfax","R1350272365FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R1350272365FPL","Meesho Price","Have size / fit related issues","Did not like the fit"
"21","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179606084108882560","179606084108882560_1","2025-07-24","2025-08-02","Customer Return","FIRST_RET","2025-08-20","Valmo","VLR081045621960","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR081045621960&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"22","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_3","Free Size",,"Earrings & Studs","1","179912798729434112","179912798729434112_1","2025-07-25","2025-08-02","Customer Return","FIRST_RET","2025-08-20","Shadowfax","R1352997173FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R1352997173FPL","Meesho Price","Don't need the product anymore","Found lower price elsewhere"
"23","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","178128382679370560","178128382679370560_1","2025-07-20","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1899419532FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1899419532FPL",,"NA","NA"
"24","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_3","Free Size",,"Earrings & Studs","1","180658281205747404","180658281205747404_1","2025-07-28","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816002777651","Returned","null","https://www.delhivery.com/track/package/1490816002777651",,"NA","NA"
"25","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","180968253689218432","180968253689218432_1","2025-07-28","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816002776936","Returned","null","https://www.delhivery.com/track/package/1490816002776936",,"NA","NA"
"26","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","180631493680241984","180631493680241984_1","2025-07-28","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490816002776004","Returned","null","https://www.delhivery.com/track/package/1490816002776004",,"NA","NA"
"27","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","180248142456757568","180248142456757568_1","2025-07-26","2025-08-02","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815940884653","Returned","null","https://www.delhivery.com/track/package/1490815940884653",,"NA","NA"
"28","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","178809856190576704","178809856190576704_1","2025-07-22","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1921638839FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1921638839FPL",,"NA","NA"
"29","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","178344496587686720","178344496587686720_1","2025-07-20","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1895686764FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1895686764FPL",,"NA","NA"
"30","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","178124331401137024","178124331401137024_1","2025-07-20","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1899024003FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1899024003FPL",,"NA","NA"
"31","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","177717686348020032","177717686348020032_1","2025-07-19","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1894519301FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1894519301FPL",,"NA","NA"
"32","WonderCrate Premium 24-Piece Silver Line Plastic Storage Container Set – Airtight Dabba Combo with Spoon Set","silverline9","Free Size",,"Jars & Containers","1","174936581530186880","174936581530186880_1","2025-07-12","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815323606114","Returned","null","https://www.delhivery.com/track/package/1490815323606114",,"NA","NA"
"33","Ethnic Pearl Studded Earrings Combo (Set of 2 Pairs)","earring_3","Free Size",,"Earrings & Studs","1","179533376838901056","179533376838901056_1","2025-07-24","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815813714091","Returned","null","https://www.delhivery.com/track/package/1490815813714091",,"NA","NA"
"34","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","180972162567314752","180972162567314752_1","2025-07-28","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1931318594FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1931318594FPL",,"NA","NA"
"35","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","176622970154798912","176622970154798912_1","2025-07-17","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815463617126","Returned","null","https://www.delhivery.com/track/package/1490815463617126",,"NA","NA"
"36","WonderCrate Pyraminx Speed Cube – Magnetic Pyramid Puzzle for Kids & Adults","pyramix","Free Size",,"Rubik Cubes","1","178088541690317760","178088541690317760_1","2025-07-23","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1899448956FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1899448956FPL",,"NA","NA"
"37","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","177005169569167680","177005169569167680_1","2025-07-17","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815533382501","Returned","null","https://www.delhivery.com/track/package/1490815533382501",,"NA","NA"
"38","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","177695498118153344","177695498118153344_1","2025-07-19","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1896701604FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1896701604FPL",,"NA","NA"
"39","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","179854092837867200","179854092837867200_1","2025-07-25","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1926529174FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1926529174FPL",,"NA","NA"
"40","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","177841654391425920","177841654391425920_1","2025-07-20","2025-08-01","Customer Return","FIRST_RET","2025-08-19","Valmo","VLR081031098447","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR081031098447&searchBy=referenceNumber","Meesho Price","Don't need the product anymore","Found lower price elsewhere"
"41","Silverline Plastic Storage Containers Jars with Plastic - 100% Food Grade, Airtight, Leak Proof (24 Pcs - Grey) 24 P SILVERLINE","24 Sil 0000315","Free Size",,"Jars & Containers","1","179949176112804672","179949176112804672_1","2025-07-25","2025-08-01","Customer Return","FIRST_RET","2025-08-19","Shadowfax","R1348385295FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R1348385295FPL","Meesho Price","Received incomplete product (missing quantity / accessory)","Received incomplete product"
"42","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","178815947237542912","178815947237542912_1","2025-07-26","2025-08-01","Courier Return (RTO)","forward_RTO","NA","PocketShip","VL0081727427708","Returned","null","https://www.valmo.in/track/VL0081727427708",,"NA","NA"
"43","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179646413478589440","179646413478589440_1","2025-07-25","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864204855","Returned","null","https://www.delhivery.com/track/package/1490815864204855",,"NA","NA"
"44","Stylish 24 Pcs Kitchen Storage Container Set | Airtight, Transparent Jars for Masala, Grains, Dry Fruits & More","24 Sil 0000514101a","Free Size",,"Jars & Containers","1","181379098416715648","181379098416715648_1","2025-07-30","2025-08-01","Courier Return (RTO)","forward_RTO","NA","PocketShip","VL0081761326276","Returned","null","https://www.valmo.in/track/VL0081761326276",,"NA","NA"
"45","Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted)","6Frost bcup 03","Free Size",,"Water Bottles","1","180727778889453248","180727778889453248_1","2025-07-28","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1929673082FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1929673082FPL",,"NA","NA"
"46","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179957442087744320","179957442087744320_1","2025-07-25","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864205360","Returned","null","https://www.delhivery.com/track/package/1490815864205360",,"NA","NA"
"47","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","179513422135630912","179513422135630912_1","2025-07-26","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864204133","Returned","null","https://www.delhivery.com/track/package/1490815864204133",,"NA","NA"
"48","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","179649527476591680","179649527476591680_1","2025-07-25","2025-08-01","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864204144","Returned","null","https://www.delhivery.com/track/package/1490815864204144",,"NA","NA"
"49","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","178414535580109760","178414535580109760_1","2025-07-22","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1899561993FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1899561993FPL",,"NA","NA"
"50","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","178447326992420160","178447326992420160_1","2025-07-21","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815652482332","Returned","null","https://www.delhivery.com/track/package/1490815652482332",,"NA","NA"
"51","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","177421921024263296","177421921024263296_1","2025-07-19","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815573028854","Returned","null","https://www.delhivery.com/track/package/1490815573028854",,"NA","NA"
"52","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","177823638555217216","177823638555217216_1","2025-07-19","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815595859822","Returned","null","https://www.delhivery.com/track/package/1490815595859822",,"NA","NA"
"53","New Fashionble Earrings (Pack of 2)","earring_1","Free Size",,"Earrings & Studs","1","179580612037778752","179580612037778752_1","2025-07-24","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815813714150","Returned","null","https://www.delhivery.com/track/package/1490815813714150",,"NA","NA"
"54","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","178535815718047936","178535815718047936_1","2025-07-24","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815813712864","Returned","null","https://www.delhivery.com/track/package/1490815813712864",,"NA","NA"
"55","WonderCrates Pyramid IQ Puzzle – Magic Speed Triangle Rubik’s Cube ","pyramid_cube","Free Size",,"Rubik Cubes","1","179149779341986624","179149779341986624_1","2025-07-23","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815761921043","Returned","null","https://www.delhivery.com/track/package/1490815761921043",,"NA","NA"
"56","Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted)","6Frost bcup 03","Free Size",,"Water Bottles","1","179870471758857607","179870471758857607_1","2025-07-25","2025-07-31","Customer Return","FIRST_RET","2025-08-18","Valmo","M00981185301","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=M00981185301&searchBy=referenceNumber","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"57","WonderCrates Pyramid IQ Puzzle – Magic Speed Triangle Rubik’s Cube ","pyramid_cube","Free Size",,"Rubik Cubes","1","178517536986680257","178517536986680257_1","2025-07-23","2025-07-31","Customer Return","FIRST_RET","2025-08-18","Valmo","M00981234272","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=M00981234272&searchBy=referenceNumber","Wrong/Defective Return Price","Have other quality related issues","Product's quality or performance is not good"
"58","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","177237173400290432","177237173400290432_1","2025-07-18","2025-07-31","Courier Return (RTO)","forward_RTO","NA","PocketShip","VL0081649089674","Returned","null","https://www.valmo.in/track/VL0081649089674",,"NA","NA"
"59","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","178005965361433472","178005965361433472_1","2025-07-20","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Shadowfax","SF1898052196FPL","Returned","null","https://track.shadowfax.in/track?order=new&trackingId=SF1898052196FPL",,"NA","NA"
"60","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","179197047222879744","179197047222879744_1","2025-07-23","2025-07-31","Customer Return","FIRST_RET","2025-08-18","Xpress Bees","234095370678629","Picked Up","NA","https://www.xpressbees.com/track?isawb=Yes&trackid=234095370678629","Meesho Price","Have other quality related issues","Product's quality or performance is not good"
"61","Plastic Pet Storage Jar and Container, Set of 24 (6 pcs x 250ml, 6 pcs x350ml, 6pcs x 650ml, 6 pcs x 1200ml) With Spoons AirTight | Kitchen Organiser Improved Model Silver line Printed","24 Sil 0000612","Free Size",,"Jars & Containers","1","178133007620950849","178133007620950849_1","2025-07-20","2025-07-31","Customer Return","FIRST_RET","2025-08-18","Valmo","VLR081038054705","Picked Up","NA","https://meesho.portal.shipsy.io/track/result?refNum=VLR081038054705&searchBy=referenceNumber","Meesho Price","Don't need the product anymore","Did not like the product"
"62","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179156469797931776","179156469797931776_1","2025-07-23","2025-07-31","Customer Return","FIRST_RET","2025-08-18","Shadowfax","R1347319238FPL","Picked Up","NA","https://track.shadowfax.in/track?order=return&trackingId=R1347319238FPL","Meesho Price","Don't need the product anymore","Did not like the product"
"63","Frosty Plastic Food Grade Fridge Square Water Bottle Gift Set(6 pieces, 1L,Assorted)","6Frost bcup 03","Free Size",,"Water Bottles","1","180262186839461568","180262186839461568_1","2025-07-26","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815940884270","Returned","null","https://www.delhivery.com/track/package/1490815940884270",,"NA","NA"
"64","Plastic Kitchen Containers Set - 24 pcs, Airtight Kitchen Storage Set, Unbreakable Round Dabba Set for Kitchen, 1200ml, 650ml, 350ml, 250ml 6 pieces each, black Lid, BPA Free","24 Sil 0000815","Free Size",,"Jars & Containers","1","178409634539785536","178409634539785536_1","2025-07-22","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815652482166","Returned","null","https://www.delhivery.com/track/package/1490815652482166",,"NA","NA"
"65","Premium Quality Daily Wear Gold Plated Fancy Earring (SET OF 6)","6_combo_1","Free Size",,"Earrings & Studs","1","179857614842360640","179857614842360640_1","2025-07-25","2025-07-31","Courier Return (RTO)","forward_RTO","NA","Delhivery","1490815864204866","Returned","null","https://www.delhivery.com/track/package/1490815864204866",,"NA","NA"
